GLU_Name,reg_id,basin_id,key,reg_nm,Reg8,EmissionType,MaxLine,MinLine,LineType
AdrBlkSea,12,55,12055,EU-12,EUR,AllPositive,SG17,Houghton,Decrease
AdrBlkSea,15,55,15055,Europe_Non_EU,ROW,AllPositive,SG17,HWSD,Decrease
AfrIntN,3,144,3144,Africa_Northern,AFR,AllPositive,Houghton,SG17,Decrease
AfrIntS,4,197,4197,Africa_Southern,AFR,AllPositive,HWSD,SG17,Decrease
AngolaCst,4,182,4182,Africa_Southern,AFR,AllPositive,Houghton,SG17,Decrease
AmazonR,7,168,7168,Brazil,BRA,AllPositive,SG17,SG20,Decrease
AmazonR,25,168,25168,South America_Northern,XLM,AllPositive,SG17,HWSD,Decrease
MeditS,3,80,3080,Africa_Northern,AFR,AllPositive,FAO,SG17,Decrease
ArgColoR,31,212,31212,Argentina,XLM,AllPositive,SG17,SG20,Decrease
BalticSea,12,20,12020,EU-12,EUR,AllPositive,HWSD,SG20,Decrease
BlackSeaN,14,47,14047,Europe_Eastern,ROW,AllPositive,SG17,Houghton,Decrease
BoHai,11,66,11066,China,CHN,AllPositive,HWSD,Houghton,Decrease
BrzCstN,7,172,7172,Brazil,BRA,AllPositive,FAO,SG17,Decrease
BrzCstS,7,195,7195,Brazil,BRA,AllPositive,SG17,HWSD,Decrease
CaspianNE,10,45,10045,Central Asia,XAS,AllPositive,SG17,Houghton,Decrease
CaspianSW,10,72,10072,Central Asia,XAS,AllPositive,SG17,HWSD,Decrease
ChileCstS,26,169,26169,South America_Southern,XLM,AllPositive,SG17,FAO,Decrease
ChinaCst,11,78,11078,China,CHN,AllPositive,SG17,Houghton,Decrease
CntAmer,9,135,9135,Central America and Caribbean,XLM,AllPositive,FAO ,Houghton,Decrease
ColEcuaCst,9,157,9157,Central America and Caribbean,XLM,AllPositive,SG17,FAO,Decrease
DanubeR,12,54,12054,EU-12,EUR,AllPositive,SG17,HWSD,Decrease
DanubeR,13,54,13054,EU-15,EUR,AllPositive,SG17,HWSD,Decrease
FlyR,29,181,29181,Southeast Asia,XAS,AllPositive,SG20,Houghton,Decrease
FraserR,8,27,8027,Canada,ROW,AllPositive,SG17,Houghton,Decrease
GangesR,17,110,17110,India,XAS,AllPositive,SG17,HWSD,Decrease
Gironde,13,64,13064,EU-15,EUR,AllPositive,SG17,HWSD,Decrease
Gobi,11,42,11042,China,CHN,AllPositive,Houghton,SG20,Decrease
GrijUsuR,9,133,9133,Central America and Caribbean,XLM,AllPositive,SG17,HWSD,Decrease
Hong,11,109,11109,China,CHN,AllPositive,FAO,Houghton,Decrease
Hong,29,109,29109,Southeast Asia,XAS,AllPositive,SG17,SG20,Decrease
IdnE,18,158,18158,Indonesia,XAS,AllPositive,SG17,HWSD,Decrease
IndCstNE,17,128,17128,India,XAS,AllPositive,SG17,SG20,Decrease
IndCstW,17,129,17129,India,XAS,AllPositive,HWSD,SG17,Decrease
IndusR,17,89,17089,India,XAS,AllPositive,Houghton,SG20,Decrease
Ireland,13,24,13024,EU-15,EUR,AllPositive,HWSD,SG20,Decrease
IrianJaya,18,167,18167,Indonesia,XAS,AllPositive,FAO,Houghton,Decrease
IrianJaya,29,167,29167,Southeast Asia,XAS,AllPositive,SG17,SG20,Decrease
IrrawaddyR,11,137,11137,China,CHN,AllPositive,Houghton,SG17,Decrease
IrrawaddyR,17,137,17137,India,XAS,AllPositive,SG17,FAO,Decrease
IrrawaddyR,29,137,29137,Southeast Asia,XAS,AllPositive,SG17,HWSD,Decrease
JavaTimor,18,175,18175,Indonesia,XAS,AllPositive,Houghton,SG20,Decrease
Korea,28,65,28065,South Korea,XAS,AllPositive,FAO,HWSD,Decrease
MagdalenaR,32,166,32166,Colombia,XLM,AllPositive,SG17,SG20,Decrease
MahanadiR,17,122,17122,India,XAS,AllPositive,SG17,SG20,Decrease
MeditE,15,75,15075,Europe_Non_EU,ROW,AllPositive,Houghton,SG20,Decrease
Mekong,11,125,11125,China,CHN,AllPositive,HWSD,SG17,Decrease
Mekong,29,125,29125,Southeast Asia,XAS,AllPositive,SG17,HWSD,Decrease
MexInt,20,114,20114,Mexico,XLM,AllPositive,Houghton,FAO,Decrease
NarmadaR,17,235,17235,India,XAS,AllPositive,Houghton,HWSD,Decrease
NegroR,31,213,31213,Argentina,XLM,AllPositive,SG17,HWSD,Decrease
