GCAM_Basin_Name,GLU_code,GLU_Name,Basin_ID
Arctic_Ocean_Islands,GLU001,ArcticIsl,1
Northwest_Territories,GLU002,NWTerr,2
Siberia_North_Coast,GLU003,SiberiaN,3
Siberia_West_Coast,GLU004,SiberiaW,4
Kara_Sea_Coast,GLU005,KaraSea,5
Lena,GLU006,LenaR,6
Pacific_and_Arctic_Coast,GLU007,PacArctic,7
Scandinavia_North_Coast,GLU008,ScndnvN,8
Russia_Barents_Sea_Coast,GLU009,BarentsSea,9
Mackenzie,GLU010,Mackenzie,10
Iceland,GLU011,Iceland,11
Sweden,GLU012,Sweden,12
Finland,GLU013,Finland,13
Northern_Dvina,GLU014,DvinaRN,14
Hudson_Bay_Coast,GLU015,HudsonBay,15
Scotland,GLU016,Scotland,16
Neva,GLU017,NevaR,17
Volga,GLU018,VolgaR,18
Atlantic_Ocean_Seaboard,GLU019,CanAtl,19
Baltic_Sea_Coast,GLU020,BalticSea,20
Denmark_Germany_Coast,GLU021,DnkGrmCst,21
Narva,GLU022,NarvaR,22
Saskatchewan_Nelson,GLU023,NelsonR,23
Ireland,GLU024,Ireland,24
Daugava,GLU025,DaugavaR,25
England_and_Wales,GLU026,EngWales,26
Fraser,GLU027,FraserR,27
Ems_Weser,GLU028,EmsWeserR,28
Oder,GLU029,OderR,29
Wisla,GLU030,WislaR,30
Elbe,GLU031,ElbeR,31
Rhine,GLU032,RhineR,32
Poland_Coast,GLU033,PolandCst,33
Churchill,GLU034,ChurchillR,34
Neman,GLU035,NemanR,35
Scheldt,GLU036,ScheldtR,36
Russia_South_East_Coast,GLU037,RusCstSE,37
Ural,GLU038,UralR,38
Dnieper,GLU039,DnieperR,39
St_Lawrence,GLU040,StLwrncR,40
France_West_Coast,GLU041,FranceCstW,41
Gobi_Interior,GLU042,Gobi,42
Amur,GLU043,AmurR,43
Loire,GLU044,LoireR,44
Caspian_Sea_Coast,GLU045,CaspianNE,45
Seine,GLU046,SeineR,46
Black_Sea_North_Coast,GLU047,BlackSeaN,47
Yenisei,GLU048,YeniseiR,48
Dniester,GLU049,DniesterR,49
Italy_East_Coast,GLU050,ItalyCstE,50
Japan,GLU051,Japan,51
Caspian_Sea_East_Coast,GLU052,CaspianE,52
Don,GLU053,DonR,53
Danube,GLU054,DanubeR,54
Adriatic_Sea_Greece_Black_Sea_Coast,GLU055,AdrBlkSea,55
Ob,GLU056,ObR,56
Po,GLU057,PoR,57
Amu_Darya,GLU058,AmuDaryaR,58
Italy_West_Coast,GLU059,ItalyCstW,59
Spain_Portugal_Atlantic_Coast,GLU060,IberiaCst,60
France_South_Coast,GLU061,FranceCstS,61
Rhone,GLU062,RhoneR,62
Mediterranean_Sea_Islands,GLU063,MeditIsl,63
Gironde,GLU064,Gironde,64
North_and_South_Korea,GLU065,Korea,65
Bo_Hai_Korean_Bay_North_Coast,GLU066,BoHai,66
Spain_South_and_East_Coast,GLU067,SpainCstSE,67
Lake_Balkash,GLU068,LBalkash,68
Tiber,GLU069,TiberR,69
Black_Sea_South_Coast,GLU070,BlackSeaS,70
Tagus,GLU071,TagusR,71
Caspian_Sea_South_West_Coast,GLU072,CaspianSW,72
Ebro,GLU073,EbroR,73
Douro,GLU074,DouroR,74
Mediterranean_Sea_East_Coast,GLU075,MeditE,75
Syr_Darya,GLU076,SyrDaryaR,76
Ziya_He_Interior,GLU077,ZiyaHe,77
China_Coast,GLU078,ChinaCst,78
Huang_He,GLU079,HuangHeR,79
Mediterranean_South_Coast,GLU080,MeditS,80
Guadiana,GLU081,GuadianaR,81
Central_Iran,GLU082,Iran,82
Guadalquivir,GLU083,GuadalqR,83
Tigris_Euphrates,GLU084,TigrEuphR,84
Tarim_Interior,GLU085,Tarim,85
Africa_North_West_Coast,GLU086,AfrCstNW,86
Nile,GLU087,NileR,87
Persian_Gulf_Coast,GLU088,PersianGulf,88
Indus,GLU089,IndusR,89
Farahrud,GLU090,FarahrudR,90
Baja_California,GLU091,MexBaja,91
Plateau_of_Tibet_Interior,GLU092,Tibet,92
Red_Sea_East_Coast,GLU093,RedSeaE,93
Arabian_Peninsula,GLU094,ArabianP,94
Dead_Sea,GLU095,DeadSea,95
Mexico_Northwest_Coast,GLU096,MexCstNW,96
Helmand,GLU097,Helmand,97
Sinai_Peninsula,GLU098,SinaiP,98
Eastern_Jordan_Syria,GLU099,EJrdnSyr,99
Africa_Red_Sea_Gulf_of_Aden_Coast,GLU100,AfrCstNE,100
Caribbean,GLU101,Caribbean,101
HamuniMashkel,GLU102,HamuMashR,102
Taiwan,GLU103,Taiwan,103
Arabian_Sea_Coast,GLU104,ArabianSea,104
North_Gulf,GLU105,MexGulf,105
Yangtze,GLU106,Yangtze,106
Sabarmati,GLU107,SabarmatiR,107
Xun_Jiang,GLU108,XunJiang,108
Hong_(Red_River),GLU109,Hong,109
Ganges_Bramaputra,GLU110,GangesR,110
Yucatan_Peninsula,GLU111,YucatanP,111
South_China_Sea_Coast,GLU112,SChinaSea,112
Mahi,GLU113,MahiR,113
Mexico_Interior,GLU114,MexInt,114
Pacific_Central_Coast,GLU115,MexCstW,115
Bay_of_Bengal_North_East_Coast,GLU116,BengalBay,116
Tapti,GLU117,TaptiR,117
Yasai,GLU118,BengalW,118
Philippines,GLU119,Phlppns,119
Brahmani,GLU120,BrahmaniR,120
North_Marina_Islands_and_Guam,GLU121,Guam,121
Mahanadi,GLU122,MahanadiR,122
Godavari,GLU123,GodavariR,123
Hainan,GLU124,Hainan,124
Mekong,GLU125,Mekong,125
Viet_Nam_Coast,GLU126,VietnamCst,126
Salween,GLU127,Salween,127
India_North_East_Coast,GLU128,IndCstNE,128
India_West_Coast,GLU129,IndCstW,129
Papaloapan,GLU130,Papaloapan,130
Rio_Lerma,GLU131,RioLerma,131
Rio_Verde,GLU132,RioVerde,132
Grijalva_Usumacinta,GLU133,GrijUsuR,133
Rio_Balsas,GLU134,RioBalsas,134
Southern_Central_America,GLU135,CntAmer,135
Isthmus_of_Tehuantepec,GLU136,Tehuantpc,136
Irrawaddy,GLU137,IrrawaddyR,137
Sittaung,GLU138,SittaungR,138
Peninsula_Malaysia,GLU139,MalaysiaP,139
Krishna,GLU140,KrishnaR,140
Andaman_Nicobar_Islands,GLU141,AdnNicIsl,141
Africa_West_Coast,GLU142,AfrCstW,142
Caribbean_Coast,GLU143,SAmerCstN,143
Africa_North_Interior,GLU144,AfrIntN,144
India_East_Coast,GLU145,IndCstE,145
Chao_Phraya,GLU146,ChaoPhrR,146
Pennar,GLU147,PennarR,147
Gulf_of_Thailand_Coast,GLU148,ThaiGulf,148
Niger,GLU149,NigerR,149
Micronesia,GLU150,Micronesia,150
Lake_Chad,GLU151,LChad,151
Senegal,GLU152,SenegalR,152
Cauvery,GLU153,CauveryR,153
Sri_Lanka,GLU154,SriLanka,154
India_South_Coast,GLU155,IndCstS,155
Orinoco,GLU156,OrinocoR,156
Colombia_Ecuador_Pacific_Coast,GLU157,ColEcuaCst,157
Palau_and_East_Indonesia,GLU158,IdnE,158
North_Borneo_Coast,GLU159,BorneoCstN,159
Volta,GLU160,VoltaR,160
Northeast_South_America_South_Atlantic_Coast,GLU161,SAmerCstNE,161
Gulf_of_Guinea,GLU162,GuineaGulf,162
Sumatra,GLU163,Sumatra,163
Sulawesi,GLU164,Sulawesi,164
Kalimantan,GLU165,Kalimantan,165
Magdalena,GLU166,MagdalenaR,166
Irian_Jaya_Coast,GLU167,IrianJaya,167
Amazon,GLU168,AmazonR,168
South_Chile_Pacific_Coast,GLU169,ChileCstS,169
Shebelli_Juba,GLU170,ShebJubR,170
Africa_East_Central_Coast,GLU171,AfrCstE,171
North_Brazil_South_Atlantic_Coast,GLU172,BrzCstN,172
Papua_New_Guinea_Coast,GLU173,PapuaCst,173
Tocantins,GLU174,TocantinsR,174
Java_Timor,GLU175,JavaTimor,175
Solomon_Islands,GLU176,SolomonIsl,176
Madagascar,GLU177,Madagascar,177
Sepik,GLU178,SepikR,178
Rift_Valley,GLU179,RiftValley,179
Peru_Pacific_Coast,GLU180,PeruCst,180
Fly,GLU181,FlyR,181
Angola_Coast,GLU182,AngolaCst,182
Congo,GLU183,CongoR,183
Australia_North_Coast,GLU184,AusCstN,184
South_Pacific_Islands,GLU185,NewCaledn,185
East_Brazil_South_Atlantic_Coast,GLU186,BrzCstE,186
Parnaiba,GLU187,ParnaibaR,187
Zambezi,GLU188,ZambeziR,188
Australia_East_Coast,GLU189,AusCstE,189
Africa_Indian_Ocean_Coast,GLU190,AfrCstSE,190
Australia_West_Coast,GLU191,AusCstW,191
Sao_Francisco,GLU192,SaoFrancR,192
Australia_Interior,GLU193,AusInt,193
Orange,GLU194,OrangeR,194
Uruguay_Brazil_South_Atlantic_Coast,GLU195,BrzCstS,195
Namibia_Coast,GLU196,AfrCstSW,196
Africa_South_Interior,GLU197,AfrIntS,197
South_Africa_South_Coast,GLU198,AfrCstS,198
Limpopo,GLU199,LimpopoR,199
La_Puna_Region,GLU200,LaPuna,200
New_Zealand,GLU201,NewZealand,201
Australia_South_Coast,GLU202,AusCstS,202
Mar_Chiquita,GLU203,MarChiq,203
South_Africa_West_Coast,GLU204,AfrCstSSW,204
Salinas_Grandes,GLU205,Salinas,205
La_Plata,GLU206,RioLaPlata,206
North_Chile_Pacific_Coast,GLU207,ChileCstN,207
Murray_Darling,GLU208,MurrayDrlg,208
Pampas_Region,GLU209,Pampas,209
North_Argentina_South_Atlantic_Coast,GLU210,ArgCstN,210
Tasmania,GLU211,Tasmania,211
South_America_Colorado,GLU212,ArgColoR,212
Negro,GLU213,NegroR,213
Central_Patagonia_Highlands,GLU214,Patagonia,214
South_Argentina_South_Atlantic_Coast,GLU215,ArgCstS,215
Antarctica,GLU216,Antarctica,216
California_River_Basin,GLU217,California,217
Upper_Mississippi_Basin,GLU218,MissppRN,218
Lower_Mississippi_River_Basin,GLU219,MissppRS,219
Upper_Colorado_River_Basin,GLU220,UsaColoRN,220
Lower_Colorado_River_Basin,GLU221,UsaColoRS,221
Great_Basin,GLU222,GreatBasin,222
Missouri_River_Basin,GLU223,MissouriR,223
Arkansas_White_Red_Basin,GLU224,ArkWhtRedR,224
Texas_Gulf_Coast_Basin,GLU225,TexasCst,225
South_Atlantic_Gulf_Basin,GLU226,UsaCstSE,226
Great_Lakes_Basin,GLU227,GreatLakes,227
Ohio_River_Basin,GLU228,OhioR,228
Pacific_Northwest_Basin,GLU229,UsaPacNW,229
Tennessee_River_Basin,GLU230,TennR,230
Rio_Grande_River_Basin,GLU231,RioGrande,231
New_England_Basin,GLU232,UsaCstNE,232
Mid_Atlantic_Basin,GLU233,UsaCstE,233
Hawaii,GLU234,Hawaii,234
Narmada,GLU235,NarmadaR,235
