GLU_Name,reg_id,basin_id,key,basin_nm,reg_nm,GLU_code,Reg8
NileR,2,87,2087,Nile,Africa_Eastern,GLU087,AFR
AfrCstNE,2,100,2100,Africa_Red_Sea_Gulf_of_Aden_Coast,Africa_Eastern,GLU100,AFR
AfrIntN,2,144,2144,Africa_North_Interior,Africa_Eastern,GLU144,AFR
LChad,2,151,2151,Lake_Chad,Africa_Eastern,GLU151,AFR
ShebJubR,2,170,2170,Shebelli_Juba,Africa_Eastern,GLU170,AFR
AfrCstE,2,171,2171,Africa_East_Central_Coast,Africa_Eastern,GLU171,AFR
Madagascar,2,177,2177,Madagascar,Africa_Eastern,GLU177,AFR
RiftValley,2,179,2179,Rift_Valley,Africa_Eastern,GLU179,AFR
CongoR,2,183,2183,Congo,Africa_Eastern,GLU183,AFR
MeditE,3,75,3075,Mediterranean_Sea_East_Coast,Africa_Northern,GLU075,AFR
MeditS,3,80,3080,Mediterranean_South_Coast,Africa_Northern,GLU080,AFR
AfrCstNW,3,86,3086,Africa_North_West_Coast,Africa_Northern,GLU086,AFR
NileR,3,87,3087,Nile,Africa_Northern,GLU087,AFR
DeadSea,3,95,3095,Dead_Sea,Africa_Northern,GLU095,AFR
SinaiP,3,98,3098,Sinai_Peninsula,Africa_Northern,GLU098,AFR
AfrCstNE,3,100,3100,Africa_Red_Sea_Gulf_of_Aden_Coast,Africa_Northern,GLU100,AFR
AfrIntN,3,144,3144,Africa_North_Interior,Africa_Northern,GLU144,AFR
NigerR,3,149,3149,Niger,Africa_Northern,GLU149,AFR
LChad,3,151,3151,Lake_Chad,Africa_Northern,GLU151,AFR
NileR,4,87,4087,Nile,Africa_Southern,GLU087,AFR
GuineaGulf,4,162,4162,Gulf_of_Guinea,Africa_Southern,GLU162,AFR
AfrCstE,4,171,4171,Africa_East_Central_Coast,Africa_Southern,GLU171,AFR
RiftValley,4,179,4179,Rift_Valley,Africa_Southern,GLU179,AFR
AngolaCst,4,182,4182,Angola_Coast,Africa_Southern,GLU182,AFR
CongoR,4,183,4183,Congo,Africa_Southern,GLU183,AFR
ZambeziR,4,188,4188,Zambezi,Africa_Southern,GLU188,AFR
