region,riverBasin,Variable,2020,2060
India,AdnNicIsl,Cropland,5.73E-07,3.78E-06
India,AdnNicIsl,Managed_Forest,0.0214398,0.0268202
India,AdnNicIsl,Unmanaged_Forest,4.21E-04,3.60E-04
India,AdnNicIsl,Grassland,0.09186377,0.08675867
India,AdnNicIsl,OtherArable,0.0038107,0.00357599
India,AdnNicIsl,OtherNotArable,0,0
India,AdnNicIsl,Managed_Pasture,5.11E-05,1.76E-04
India,AdnNicIsl,Unmanaged_Pasture,7.89E-04,6.81E-04
EU-12,AdrBlkSea,Cropland,1.939641582,2.169965968
EU-12,AdrBlkSea,Managed_Forest,1.02397,1.29581
EU-12,AdrBlkSea,Unmanaged_Forest,1.1906472,1.0143802
EU-12,AdrBlkSea,Grassland,1.3932465,1.2676065
EU-12,AdrBlkSea,OtherArable,0.250693,0.214023
EU-12,AdrBlkSea,OtherNotArable,0.0499139,0.0499139
EU-12,AdrBlkSea,Managed_Pasture,0.0253098,0.0338677
EU-12,AdrBlkSea,Unmanaged_Pasture,0.8839026,0.7468016
EU-12,AdrBlkSea,Shrubland,0.38856254,0.35352354
EU-15,AdrBlkSea,Cropland,3.095670582,3.541694275
EU-15,AdrBlkSea,Managed_Forest,0.523355,0.688317
EU-15,AdrBlkSea,Unmanaged_Forest,0.5131577,0.4627527
EU-15,AdrBlkSea,Grassland,1.206386,1.157128
EU-15,AdrBlkSea,OtherArable,0.574581,0.515773
EU-15,AdrBlkSea,OtherNotArable,0.0647401,0.0647401
EU-15,AdrBlkSea,Managed_Pasture,0,0
EU-15,AdrBlkSea,Unmanaged_Pasture,4.156532,3.805032
EU-15,AdrBlkSea,Shrubland,2.473691,2.372681
Europe_Non_EU,AdrBlkSea,Cropland,2.454629756,3.086575314
Europe_Non_EU,AdrBlkSea,Managed_Forest,1.19526,1.50772
Europe_Non_EU,AdrBlkSea,Unmanaged_Forest,2.023314,1.738574
Europe_Non_EU,AdrBlkSea,Grassland,2.829613,2.593693
Europe_Non_EU,AdrBlkSea,OtherArable,0.536928,0.451366
Europe_Non_EU,AdrBlkSea,OtherNotArable,0.139251,0.139251
Europe_Non_EU,AdrBlkSea,Managed_Pasture,0.450914,0.585892
Europe_Non_EU,AdrBlkSea,Unmanaged_Pasture,2.708086,2.252936
Europe_Non_EU,AdrBlkSea,Shrubland,0.216088,0.198071
Africa_Eastern,AfrCstE,Cropland,2.648632279,3.929664053
Africa_Eastern,AfrCstE,Managed_Forest,0.524083,0.64907
Africa_Eastern,AfrCstE,Unmanaged_Forest,0,0
Africa_Eastern,AfrCstE,Grassland,7.50214057,7.032009895
Africa_Eastern,AfrCstE,OtherArable,0.321583681,0.253905081
Africa_Eastern,AfrCstE,OtherNotArable,0.045083,0.045083
Africa_Eastern,AfrCstE,Managed_Pasture,0.161249343,0.474137497
Africa_Eastern,AfrCstE,Unmanaged_Pasture,7.367976671,6.342788458
Africa_Eastern,AfrCstE,Shrubland,2.487883,2.331983
Africa_Southern,AfrCstE,Cropland,10.75101307,16.73964089
Africa_Southern,AfrCstE,Managed_Forest,1.72881,2.33565
Africa_Southern,AfrCstE,Unmanaged_Forest,5.565211,5.089261
Africa_Southern,AfrCstE,Grassland,26.96394293,25.48492073
Africa_Southern,AfrCstE,OtherArable,4.451832472,3.632751634
Africa_Southern,AfrCstE,OtherNotArable,0.1495528,0.1495528
Africa_Southern,AfrCstE,Managed_Pasture,0.249588574,0.600291446
Africa_Southern,AfrCstE,Unmanaged_Pasture,32.5868741,28.43423075
Africa_Southern,AfrCstE,Shrubland,0.3568046,0.3372346
Africa_Eastern,AfrCstNE,Cropland,0.534011289,1.097891905
Africa_Eastern,AfrCstNE,Managed_Forest,0.0220885,0.027376
Africa_Eastern,AfrCstNE,Unmanaged_Forest,0,0
Africa_Eastern,AfrCstNE,Grassland,2.818504,2.764873
Africa_Eastern,AfrCstNE,OtherArable,0.43285,0.339214
Africa_Eastern,AfrCstNE,OtherNotArable,10.618284,10.618284
Africa_Eastern,AfrCstNE,Managed_Pasture,0.712577,2.13345
Africa_Eastern,AfrCstNE,Unmanaged_Pasture,32.8015,31.36509
Africa_Eastern,AfrCstNE,Shrubland,21.35685,20.95047
Africa_Northern,AfrCstNE,Grassland,0.003667,0.003667
Africa_Northern,AfrCstNE,OtherArable,0.001138,0.001138
Africa_Northern,AfrCstNE,OtherNotArable,6.818433,6.818433
Middle East,AfrCstNE,Cropland,0.064290116,0.079100435
Middle East,AfrCstNE,OtherArable,0.0169525,0.00737739
Middle East,AfrCstNE,Managed_Pasture,0.00213859,0.00163685
Middle East,AfrCstNE,Unmanaged_Pasture,0.19055566,0.18649311
Middle East,AfrCstNE,Shrubland,0.04325416,0.042583178
Africa_Northern,AfrCstNW,Cropland,5.966062445,6.960835005
Africa_Northern,AfrCstNW,Managed_Forest,0.159066,0.193822
Africa_Northern,AfrCstNW,Unmanaged_Forest,0,0
Africa_Northern,AfrCstNW,Grassland,0.1812535,0.1775832
Africa_Northern,AfrCstNW,OtherArable,2.74231,2.35876
Africa_Northern,AfrCstNW,OtherNotArable,25.775175,25.775175
Africa_Northern,AfrCstNW,Managed_Pasture,0.102151,0.151143
Africa_Northern,AfrCstNW,Unmanaged_Pasture,16.36999,15.70761
Africa_Northern,AfrCstNW,Shrubland,1.427669,1.39876
Africa_Western,AfrCstNW,Cropland,0.001242572,0.003434973
Africa_Western,AfrCstNW,Grassland,0.00818773,0.00801127
Africa_Western,AfrCstNW,OtherArable,4.20E-04,2.95E-04
Africa_Western,AfrCstNW,OtherNotArable,24.178475,24.178475
Africa_Western,AfrCstNW,Managed_Pasture,0.0325084,0.132237
Africa_Western,AfrCstNW,Unmanaged_Pasture,2.42983,2.33433
Africa_Western,AfrCstNW,Shrubland,0.28413,0.278007
EU-15,AfrCstNW,OtherArable,0.00949758,0.00949758
EU-15,AfrCstNW,OtherNotArable,0.10889079,0.10889079
EU-15,AfrCstNW,Managed_Pasture,0,0
EU-15,AfrCstNW,Unmanaged_Pasture,0.0113015,0.0113015
Africa_Southern,AfrCstS,Cropland,0.381808318,0.516211385
Africa_Southern,AfrCstS,Managed_Forest,0.0314847,0.0445317
Africa_Southern,AfrCstS,Unmanaged_Forest,0.101317,0.0967481
Africa_Southern,AfrCstS,Grassland,1.224675,1.211025
Africa_Southern,AfrCstS,OtherArable,0.0567596,0.0503979
Africa_Southern,AfrCstS,OtherNotArable,0.02212808,0.02212808
Africa_Southern,AfrCstS,Managed_Pasture,0.02047,0.0534558
Africa_Southern,AfrCstS,Unmanaged_Pasture,2.670324,2.514474
South Africa,AfrCstS,Cropland,1.187954677,1.516315077
South Africa,AfrCstS,Managed_Forest,2.06436,2.70332
South Africa,AfrCstS,Unmanaged_Forest,0,0
South Africa,AfrCstS,Grassland,5.928877537,5.861806109
South Africa,AfrCstS,OtherArable,1.418264956,1.349303788
South Africa,AfrCstS,OtherNotArable,0.32976,0.32976
South Africa,AfrCstS,Managed_Pasture,0.870369137,1.385462065
South Africa,AfrCstS,Unmanaged_Pasture,21.70521728,20.38180891
South Africa,AfrCstS,Shrubland,2.028557,2.005607
Africa_Southern,AfrCstSE,Cropland,2.351347928,3.354604276
Africa_Southern,AfrCstSE,Managed_Forest,0.295367,0.413289
Africa_Southern,AfrCstSE,Unmanaged_Forest,0.94947073,0.891006377
Africa_Southern,AfrCstSE,Grassland,9.21088,8.94344
Africa_Southern,AfrCstSE,OtherArable,0.327652132,0.278554096
Africa_Southern,AfrCstSE,OtherNotArable,0.102466,0.102466
Africa_Southern,AfrCstSE,Managed_Pasture,0.082870699,0.213041018
Africa_Southern,AfrCstSE,Unmanaged_Pasture,10.79664,9.92217
Africa_Southern,AfrCstSE,Shrubland,0.063579044,0.061733044
South Africa,AfrCstSSW,Cropland,0.334901563,0.411436733
South Africa,AfrCstSSW,Managed_Forest,0.0151937,0.0194244
South Africa,AfrCstSSW,Unmanaged_Forest,0,0
South Africa,AfrCstSSW,Grassland,0.438872,0.434734
South Africa,AfrCstSSW,OtherArable,0.418525,0.387941
South Africa,AfrCstSSW,OtherNotArable,0.09529,0.09529
South Africa,AfrCstSSW,Managed_Pasture,0.286997,0.439573
South Africa,AfrCstSSW,Unmanaged_Pasture,7.25313,7.06601
South Africa,AfrCstSSW,Shrubland,1.219548,1.208049
Africa_Southern,AfrCstSW,Cropland,0.00844098,0.011573662
Africa_Southern,AfrCstSW,Grassland,0.529402,0.527353
Africa_Southern,AfrCstSW,OtherArable,0.0349468,0.0339628
Africa_Southern,AfrCstSW,OtherNotArable,10.1684514,10.1684514
Africa_Southern,AfrCstSW,Managed_Pasture,0.0499919,0.13798
Africa_Southern,AfrCstSW,Unmanaged_Pasture,6.51384,6.45862
Africa_Southern,AfrCstSW,Shrubland,8.49373,8.46086
South Africa,AfrCstSW,OtherArable,0,0
South Africa,AfrCstSW,OtherNotArable,0.083344,0.083344
Africa_Western,AfrCstW,Cropland,25.25977709,39.25290358
Africa_Western,AfrCstW,Managed_Forest,1.756,2.17373
Africa_Western,AfrCstW,Unmanaged_Forest,15.1749159,12.6932239
Africa_Western,AfrCstW,Grassland,22.40083803,19.12474803
Africa_Western,AfrCstW,OtherArable,4.7215093,3.26198787
Africa_Western,AfrCstW,OtherNotArable,0.872086,0.872086
Africa_Western,AfrCstW,Managed_Pasture,0.378345,1.056137
Africa_Western,AfrCstW,Unmanaged_Pasture,28.35040102,20.62949392
Africa_Western,AfrCstW,Shrubland,1.0319727,0.8816077
Africa_Eastern,AfrIntN,Cropland,3.18E-04,0.001906276
Africa_Eastern,AfrIntN,Grassland,0.01994828,0.01949993
Africa_Eastern,AfrIntN,OtherArable,0.00918329,0.00774269
Africa_Eastern,AfrIntN,Managed_Pasture,0.0998232,0.280085
Africa_Eastern,AfrIntN,Unmanaged_Pasture,4.610512,4.432832
Africa_Eastern,AfrIntN,Shrubland,0.1015351,0.099253
Africa_Eastern,AfrIntN,OtherNotArable,26.319131,26.319131
Africa_Northern,AfrIntN,Cropland,0.57945252,0.887944172
Africa_Northern,AfrIntN,Managed_Forest,2.59E-04,3.45E-04
Africa_Northern,AfrIntN,Unmanaged_Forest,0,0
Africa_Northern,AfrIntN,Grassland,2.755595,2.757592
Africa_Northern,AfrIntN,OtherArable,1.53078,1.47036
Africa_Northern,AfrIntN,OtherNotArable,352.552689,352.552689
Africa_Northern,AfrIntN,Managed_Pasture,0.262112,0.446884
Africa_Northern,AfrIntN,Unmanaged_Pasture,41.6268,41.18995
Africa_Northern,AfrIntN,Shrubland,2.632641,2.634549
Africa_Western,AfrIntN,Cropland,0.013214812,0.029402499
Africa_Western,AfrIntN,Grassland,2.427314,2.386433
Africa_Western,AfrIntN,OtherArable,0.0318786,0.026576
Africa_Western,AfrIntN,OtherNotArable,102.8313,102.8313
Africa_Western,AfrIntN,Managed_Pasture,0.138518,0.517617
Africa_Western,AfrIntN,Unmanaged_Pasture,10.40081,10.08929
Africa_Western,AfrIntN,Shrubland,2.231779,2.194191
Africa_Southern,AfrIntS,Cropland,1.66396987,3.948410929
Africa_Southern,AfrIntS,Managed_Forest,0.680263,0.961266
Africa_Southern,AfrIntS,Unmanaged_Forest,2.189318136,2.089748386
Africa_Southern,AfrIntS,Grassland,27.98485073,27.58435238
Africa_Southern,AfrIntS,OtherArable,1.000346895,0.778212297
Africa_Southern,AfrIntS,OtherNotArable,1.235188603,1.235188603
Africa_Southern,AfrIntS,Managed_Pasture,0.34544508,0.9023772
Africa_Southern,AfrIntS,Unmanaged_Pasture,45.0830958,42.7736908
Africa_Southern,AfrIntS,Shrubland,6.386396,6.295496
Brazil,AmazonR,Cropland,8.556203727,11.08288538
Brazil,AmazonR,Managed_Forest,14.10439148,20.39963567
Brazil,AmazonR,Unmanaged_Forest,315.56829,307.46999
Brazil,AmazonR,Grassland,13.8963115,13.6203345
Brazil,AmazonR,OtherArable,1.90070207,1.77179239
Brazil,AmazonR,OtherNotArable,0.65249,0.65249
Brazil,AmazonR,Managed_Pasture,0.9219919,1.320606
Brazil,AmazonR,Unmanaged_Pasture,17.9174249,17.2065679
Brazil,AmazonR,Shrubland,0.332993231,0.326267902
Colombia,AmazonR,Cropland,0.441335349,0.540703789
Colombia,AmazonR,Managed_Forest,0.466827,0.688057
Colombia,AmazonR,Unmanaged_Forest,30.403611,30.101051
Colombia,AmazonR,Grassland,1.55726478,1.54443358
Colombia,AmazonR,OtherArable,0.021939913,0.020092089
Colombia,AmazonR,OtherNotArable,0.09128479,0.09128479
Colombia,AmazonR,Managed_Pasture,0.02280962,0.04397829
Colombia,AmazonR,Unmanaged_Pasture,1.44013249,1.41560799
Colombia,AmazonR,Shrubland,0,0
South America_Northern,AmazonR,Cropland,0.048051951,0.134365222
South America_Northern,AmazonR,Managed_Forest,0.0339776,0.0497274
South America_Northern,AmazonR,Unmanaged_Forest,6.131747,6.045891
South America_Northern,AmazonR,Grassland,0.383515841,0.379144811
South America_Northern,AmazonR,OtherArable,0.054343815,0.052098942
South America_Northern,AmazonR,OtherNotArable,0.002616006,0.002616006
South America_Northern,AmazonR,Managed_Pasture,0.015686836,0.022903723
South America_Northern,AmazonR,Unmanaged_Pasture,0.748430293,0.731629253
South America_Northern,AmazonR,Shrubland,0,0
South America_Southern,AmazonR,Cropland,5.645914372,7.810570493
South America_Southern,AmazonR,Managed_Forest,6.311679952,9.100265261
South America_Southern,AmazonR,Unmanaged_Forest,115.500724,112.123844
South America_Southern,AmazonR,Grassland,22.62021027,22.12528207
South America_Southern,AmazonR,OtherArable,3.03708152,2.77011324
South America_Southern,AmazonR,OtherNotArable,2.02225,2.02225
South America_Southern,AmazonR,Managed_Pasture,0.2937385,0.4382566
South America_Southern,AmazonR,Unmanaged_Pasture,22.23017857,21.34420407
South America_Southern,AmazonR,Shrubland,3.326183,3.253153
Central Asia,AmuDaryaR,Cropland,3.583301197,3.871916627
Central Asia,AmuDaryaR,Managed_Forest,3.57E-04,3.52E-04
Central Asia,AmuDaryaR,Unmanaged_Forest,0.001427123,0.001325087
Central Asia,AmuDaryaR,Grassland,2.430904,2.416223
Central Asia,AmuDaryaR,OtherArable,0.535883,0.505884
Central Asia,AmuDaryaR,OtherNotArable,6.566078,6.566078
Central Asia,AmuDaryaR,Managed_Pasture,0.664103,1.02804
Central Asia,AmuDaryaR,Unmanaged_Pasture,32.43671,31.90072
Central Asia,AmuDaryaR,Shrubland,11.88365,11.81187
China,AmuDaryaR,Grassland,0,0
China,AmuDaryaR,OtherNotArable,0.017959,0.017959
China,AmuDaryaR,Managed_Pasture,0.00131477,0.001703
China,AmuDaryaR,Unmanaged_Pasture,0.0257742,0.025386
Pakistan,AmuDaryaR,OtherNotArable,0.00614701,0.00614701
Pakistan,AmuDaryaR,Managed_Pasture,7.63E-04,7.79E-04
Pakistan,AmuDaryaR,Unmanaged_Pasture,1.75E-05,1.98E-06
South Asia,AmuDaryaR,Cropland,1.396542043,1.563904397
South Asia,AmuDaryaR,Managed_Forest,0.0169289,0.0146135
South Asia,AmuDaryaR,Unmanaged_Forest,0.02215079,0.0212115
South Asia,AmuDaryaR,Grassland,2.740118,2.676199
South Asia,AmuDaryaR,OtherArable,1.64462,1.22062
South Asia,AmuDaryaR,OtherNotArable,1.297973,1.297973
South Asia,AmuDaryaR,Managed_Pasture,0.407894,1.11663
South Asia,AmuDaryaR,Unmanaged_Pasture,6.719358,6.384942
South Asia,AmuDaryaR,Shrubland,2.165179,2.114672
Central Asia,AmurR,Cropland,0.149198769,0.163847779
Central Asia,AmurR,Managed_Forest,0.0185955,0.0260037
Central Asia,AmurR,Unmanaged_Forest,0.0613879,0.0595693
Central Asia,AmurR,Grassland,4.47805,4.45369
