"","riverBasin","series","run","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060"
"1","AdnNicIsl",69,"moiraiSG17",0.01644316099762,0.001057238,-0.000200588,-0.001135224,-0.001827949,-0.002339225,0.060670603,0.058104147,0.055894435,0.053934178,0.052154699,0.044294707,0.043014165,0.041790352,0.040617714,0.039494758,0.034381627,0.033494243,0.032646868,0.0318352,0.031058997,0.030732676,0.030135812,0.02949313,0.0288571378,0.0282519752,0.0161363369,0.0160170064,0.0159336497,0.0158652266,0.0158029438,0.0113275846,0.01144843141,0.01155661696,0.01165513587,0.01174782066,0.00645128476,0.00675642713,0.00703677633000001,0.007297944,0.007543949537,0.00568503416500001,0.00599995112,0.006292192596,0.006567207693,0.006828530528,0.001306332146,0.001780171602,0.0022194209545,0.0026282342158,0.0030119604119
"2","AdrBlkSea",69,"moiraiSG17",3.793548643,1.425158673,4.193375046,6.59310619,8.691324141,10.537178011,-0.124551231,0.742028263,1.635821584,2.466880777,3.203879963,2.500127121,2.982376016,3.396997995,3.753470912,4.061452461,4.21344603,4.466322653,4.690882282,4.893146697,5.07734494,6.49710438,6.754135101,6.991679319,7.210081758,7.410797185,4.728484008,4.728934362,4.74214769,4.760850667,4.781839099,4.227040379,4.228430691,4.234014162,4.242750688,4.254049062,3.402841131,3.384049645,3.372413023,3.366602536,3.365588872,3.654627798,3.710887192,3.766266034,3.820369081,3.872962345,3.083171998,3.10137398,3.123828326,3.148780663,3.175221378
"3","AfrCstE",69,"moiraiSG17",93.584852412,168.365679609,173.8839096,177.997718709,181.051552128,183.305427948,67.516479544,60.188361052,54.64995106,50.465883112,47.307331767,41.560204708,39.779391869,38.437509795,37.427241241,36.667209691,41.384691051,41.095698059,40.878300405,40.71543757,40.593392733,37.494251006,37.406886647,37.341080417,37.291185272,37.254013389,21.740603383,21.511484786,21.33897174,21.209034029,21.111165967,21.790432568,21.78624202,21.783697757,21.782310798,21.781943243,19.904635655,19.909206592,19.913809598,19.918549757,19.923375535,35.529816743,35.89898311,36.191325969,36.424955148,36.61375891,33.771341005,33.891236861,33.991256867,34.075645357,34.147783234
"4","AfrCstNE",69,"moiraiSG17",-7.8942525,-8.200381,-6.802244851,-5.715549609,-4.858101725,-4.171228633,-1.445374809,-0.757716005,-0.147112731,0.384269628,0.841902918,1.752103262,2.099607558,2.394025494,2.645475197,2.861992605,4.196418635,4.350125281,4.468259129,4.564622119,4.647257068,4.827798642,4.884529509,4.929594839,4.968897609,5.005429905,5.05037671,5.086272909,5.114532181,5.139211571,5.162455995,5.53563931,5.551141861,5.559779696,5.565967151,5.572060668,5.7790435962,5.7813546857,5.7800131392,5.7780004797,5.7769502555,6.5228762681,6.5188594179,6.5059299488,6.49057521542,6.47588175163,6.60383078456,6.59248059733,6.58088159895,6.57060959046,6.56227138471
"5","AfrCstNW",69,"moiraiSG17",-0.99093309817,19.441040512559,20.9649797599,22.18030382754,23.14969174245,23.92409897475,3.654169445,2.944959435,2.413988182,2.018197692,1.724468404,1.758453837,1.622922602,1.524757232,1.45429888,1.404327079,1.473656995,1.454894035,1.442054222,1.433594614,1.428299254,1.885028409,1.926695521,1.95921318,1.984579008,2.004359368,1.783238244,1.786439589,1.789680754,1.792675258,1.795293047,1.532825995,1.510469975,1.493547081,1.480694098,1.47092365,1.346706356,1.329670145,1.316002848,1.304897366,1.295770898,1.7179238101,1.7581270385,1.7887628482,1.8120322023,1.8296674103,1.5100639573,1.4911622911,1.4774130455,1.4675039818,1.4604688811
"6","AfrCstS",69,"moiraiSG17",-3.690203085,-5.573866211,-7.56935474,-9.435355448,-11.172050781,-12.782308686,-11.692573995,-11.396284543,-10.907678429,-10.301120086,-9.630182561,-9.428467446,-8.662121067,-7.927523124,-7.23315649,-6.583835063,-5.28487985,-4.690422674,-4.150667168,-3.661528525,-3.218893094,-3.156108128,-2.79914671,-2.473661381,-2.177655601,-1.908912263,-2.873192753,-2.600960446,-2.350494001,-2.120566944,-1.909923,-2.131927651,-1.935111329,-1.753539134,-1.586310507,-1.432597545,-1.833866366,-1.677740735,-1.532095537,-1.396722903,-1.271234993,-0.570899628,-0.445315747000001,-0.329326034,-0.222296701,-0.12363459,-0.53041308,-0.413078930999999,-0.303358579,-0.201047977,-0.105820259
"7","AfrCstSE",69,"moiraiSG17",8.968164361,4.374868598,4.208351181,4.137977126,4.135956433,4.181467961,6.707953295,6.635451886,6.614892258,6.630303026,6.669786664,6.151441841,6.215986336,6.284144121,6.353021684,6.420643593,6.921840041,6.998651152,7.067451798,7.129002777,7.184016749,3.093231276,3.03227058,2.990490436,2.962650473,2.944843761,1.700830727,1.681593866,1.669430881,1.662327645,1.658815526,1.643091539,1.647067811,1.651112657,1.655080683,1.658890655,1.578323384,1.584809937,1.590230288,1.594793554,1.598667158,5.408689661,5.515552069,5.598882038,5.664264804,5.715945746,5.509941543,5.54615058,5.575143372,5.598524266,5.617633887
"8","AfrCstSSW",69,"moiraiSG17",-1.095948498,-0.942533748,-1.21865754,-1.47460013,-1.730335506,-1.992037664,-2.462493331,-2.335600994,-2.199946343,-2.061654551,-1.923855241,-1.939999497,-1.818723287,-1.702486487,-1.589166848,-1.47816736,-1.250051778,-1.146210541,-1.046842526,-0.950966875,-0.858381207,-0.777615542,-0.689208824,-0.603912342,-0.522757999,-0.446132907,-0.515288997,-0.445744822,-0.379950157,-0.318394566,-0.261125731,-0.266635317,-0.217273406,-0.170943213,-0.127882841,-0.088033922,-0.129647129,-0.0955944249999999,-0.0634809899999999,-0.0336588070000002,-0.00615595799999994,0.0423171860000001,0.068044069,0.0921385750000001,0.114342907,0.134653051,0.100760083,0.118175114,0.134533769,0.149603774,0.163365714
"9","AfrCstSW",69,"moiraiSG17",0.171844144,-0.055394698,-0.054911969,-0.052413694,-0.048744382,-0.044477452,0.053733639,0.067662627,0.078432721,0.086793402,0.093312803,0.18969019,0.194138001,0.196775334,0.198176825,0.198752293,0.260509357,0.26043798,0.25954706,0.258181195,0.256575069,0.272659823,0.271092142,0.269431185,0.267781666,0.266206485,0.29309232,0.291962181,0.290598577,0.289144625,0.287693358,0.325876364,0.324725621,0.323260505,0.321656886,0.320031316,0.351788458,0.350447673,0.348871654,0.347210368,0.345562513,0.331221343,0.329805975,0.328755542,0.327975799,0.32739719,0.390895828,0.390837396,0.39016211,0.389125891,0.38790527
"10","AfrCstW",69,"moiraiSG17",155.410914144,175.576060381,176.19171516,176.790019584,177.365803042,177.915306333,146.529872158,144.008124342,142.151349797,140.792795119,139.80695706,127.334745564,126.774799146,126.402329582,126.168615986,126.036066595,149.111825129,149.785578019,150.3209524161,150.752768608,151.105190542,112.961704814,111.886744264,111.084155584,110.490156361,110.054754209,80.914893616,80.227378092,79.756555686,79.448290243,79.260237939,78.893098451,78.853795728,78.862633967,78.906911421,78.977857106,76.141839354,76.197328004,76.266969149,76.348052569,76.438948899,123.086698458,125.015483299,126.532079866,127.735620265,128.699889032,121.660107359,122.104547248,122.498281322,122.850880228,123.169245474
