key,Region of 8,Forest,Pasture,Cropland,Other Not Arable,Grassland,Shrubland,Total Land Use Change,Land Use Gains,Land Use Losses,Land Use Percent Category,Land Use Category,Land Use Change Type,Emission Type,Maximum Emission Model,Minimum Emission Model,Emission Trajectory,Maximum Range between Models,Range Category,Basin Emission,Regional Emissions,Percent Emissions,Emission Category
1007,USA,0.83,0,0,-0.09,-0.72,-0.02,0.83,0,0,Less than 2.5% Change,No Change,No Change,All Sequestration,SG17,Houghton,Increase,16.66,12 Mt - Less than 25 Mt,-3.56,-12.98,4,Between -5% and  5%
1023,USA,0.1,-2.18,1.15,0.01,0.92,0,2.18,1,1,Less than 2.5% Change,One to One,Cropland From Pasture,No Change,NA,NA,Steady,2.34,1 Mt - Less than 12 Mt,0.38,-12.98,2.1,Between -5% and  5%
1027,USA,1.16,-0.32,0.51,0,-1.35,0,1.67,1,1,Less than 2.5% Change,One to One,"Forest Gained, Grassland Lost",No Change,NA,NA,Steady,0.01,Less than 1 Mt,-0.01,-12.98,0,Between -5% and  5%
1096,USA,0.09,-0.32,0.4,0.01,-1.71,1.53,2.03,1,1,Less than 2.5% Change,One to One,"Shrubland Gains, Grassland Lost",No Change,NA,NA,Steady,0.10,Less than 1 Mt,0.00,-12.98,0,Between -5% and  5%
1101,USA,0.3,-0.69,1.48,-0.01,-1.07,0,1.77,1,1,Less than 2.5% Change,One to One,Cropland from Grassland,No Change,NA,NA,Steady,0.29,Less than 1 Mt,-0.08,-12.98,0.2,Between -5% and  5%
1217,USA,1.41,-1.07,0.45,0.26,-0.34,-0.71,2.12,1,1,Less than 2.5% Change,One to One,"Forest Gained, Pasture Lost",All Sequestration,SG20,SG17,Increase,2.01,1 Mt - Less than 12 Mt,-3.89,-12.98,1.9,Between -5% and  5%
1218,USA,0.17,-3.61,3.36,0.15,-0.07,0,3.68,1,1,2.5% to 7.5% Change,One to One,Cropland From Pasture,Complex,Houghton,FAO,Complex,15.02,12 Mt - Less than 25 Mt,-1.06,-12.98,-14.7,Between -5% and -40%
1219,USA,1.23,-1.83,1.01,0.1,-0.5,0,2.34,1,1,Less than 2.5% Change,One to One,"Forest Gained, Pasture Lost",Complex,SG17,HWSD,Increase,6.42,1 Mt - Less than 12 Mt,0.48,-12.98,30.4,Between 15% and 50%
1220,USA,1.44,-0.72,0.24,0.01,-0.46,-0.5,1.69,1,0,Less than 2.5% Change,No Change,No Change,All Sequestration,SG20,Houghton,Increase,1.06,1 Mt - Less than 12 Mt,-1.79,-12.98,0.1,Between -5% and  5%
1221,USA,0.56,-0.22,0.28,0.06,-0.31,-0.37,0.9,0,0,Less than 2.5% Change,No Change,No Change,All Sequestration,HWSD,SG20,Increase,1.35,1 Mt - Less than 12 Mt,-0.59,-12.98,-0.3,Between -5% and  5%
1222,USA,0.27,-0.17,0.49,0.06,-0.4,-0.26,0.82,0,0,Less than 2.5% Change,No Change,No Change,No Change,NA,NA,Steady,0.62,Less than 1 Mt,-0.39,-12.98,-0.4,Between -5% and  5%
1223,USA,0.47,-4.02,3.18,0.03,0.46,-0.11,4.13,1,1,2.5% to 7.5% Change,One to One,Cropland From Pasture,Complex,Houghton,FAO,Complex,20.68,12 Mt - Less than 25 Mt,-3.13,-12.98,1.8,Between -5% and  5%
1224,USA,1.24,-2.86,1.37,0.04,0.25,-0.04,2.91,2,1,2.5% to 7.5% Change,"Two Gains, One Loss","Cropland and Forest Gain, Pasture Lost",Complex,Houghton,FAO,Increase,4.90,1 Mt - Less than 12 Mt,-3.06,-12.98,5.6,Between 5% and 15%
1225,USA,1,-1.62,0.63,0.13,-0.13,0,1.75,1,1,Less than 2.5% Change,One to One,"Forest Gained, Pasture Lost",All Sequestration,SG17,FAO,Increase,3.23,1 Mt - Less than 12 Mt,-1.38,-12.98,4.7,Between -5% and  5%
1226,USA,1.56,-0.99,0.34,0.18,-1.09,0,2.09,1,1,Less than 2.5% Change,One to One,"Forest Gained, Pasture Lost",All Emissions,SG17,Houghton,PeakSteady,6.08,1 Mt - Less than 12 Mt,7.41,-12.98,1.8,Between -5% and  5%
1227,USA,0.33,-1.49,1.54,0.26,-0.65,0,2.14,1,1,Less than 2.5% Change,One to One,Cropland From Pasture,All Emissions,SG17,SG20,Increase,3.36,1 Mt - Less than 12 Mt,4.33,-12.98,2.1,Between -5% and  5%
1228,USA,0.92,-3.33,2.65,0.18,-0.42,0,3.75,1,1,2.5% to 7.5% Change,One to One,Cropland From Pasture,Complex,Houghton,FAO,Increase,6.88,1 Mt - Less than 12 Mt,-1.57,-12.98,20,Between 15% and 50%
1229,USA,1.87,-1.44,0.31,0.05,-0.39,-0.41,2.23,1,1,Less than 2.5% Change,One to One,"Forest Gained, Pasture Lost",All Sequestration,SG17,Houghton,Increase,7.40,1 Mt - Less than 12 Mt,-12.25,-12.98,28,Between 15% and 50%
1230,USA,2.35,-2.55,0.45,0.13,-0.38,0,2.93,1,1,2.5% to 7.5% Change,One to One,"Forest Gained, Pasture Lost",Complex,SG17,FAO,Increase,0.92,Less than 1 Mt,-0.20,-12.98,3.5,Between -5% and  5%
1231,USA,0.61,-0.24,0.22,0.03,-0.48,-0.14,0.87,0,0,Less than 2.5% Change,No Change,No Change,No Change,NA,NA,Steady,0.65,Less than 1 Mt,-0.36,-12.98,0.1,Between -5% and  5%
1232,USA,0.87,-0.46,0.27,0.27,-0.95,0,1.42,0,0,Less than 2.5% Change,No Change,No Change,All Emissions,SG17,Houghton,Decrease,1.44,1 Mt - Less than 12 Mt,3.14,-12.98,1.1,Between -5% and  5%
1233,USA,0.23,-1.87,1.97,0.5,-0.83,0,2.7,1,1,2.5% to 7.5% Change,One to One,Cropland From Pasture,All Emissions,SG17,FAO,StepDown,1.61,1 Mt - Less than 12 Mt,4.58,-12.98,8.2,Between 5% and 15%
1234,USA,0,0.21,-0.14,0.1,-0.16,0,0.31,0,0,Less than 2.5% Change,No Change,No Change,No Change,NA,NA,Steady,0.08,Less than 1 Mt,0.01,-12.98,0,Between -5% and  5%
