"","region","series","run","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060"
"1","Africa_Eastern",69,"moiraiSG17",78.276565713,326.212225626,355.872434933,380.095317477,399.9555709629,416.3037920309,175.990903771,156.82291333,142.815436139,132.5955516223,125.150661388,122.011803024,118.711788946,116.350759962,114.666419893,113.46598812,129.913869412,130.092194452,130.177434855,130.197602569,130.170429322,125.687873042,125.679960187,125.606059117,125.493233331,125.358749395,100.347686754,101.063038912,101.613293072,102.0473361,102.400678223,103.858601238,104.710409284,105.377492038,105.914018526,106.359206221,103.392331363,104.257317097,104.962090209,105.552491616,106.062321347,159.440930317,161.36914882,162.892097098,164.1170752449,165.1205583951,161.6524326085,162.94690155,164.0276371814,164.9489603786,165.749387594
"2","Africa_Northern",69,"moiraiSG17",12.8946402620147,38.76721898807,42.55004065843,45.54284933471,47.89239541476,49.72883788107,13.26429094963,11.155374828257,9.54977761865,8.330747021192,7.407350148773,7.742626699283,7.209539535014,6.809092143862,6.508975059323,6.2846212486933,6.4955209075107,6.3635278985936,6.2628796171706,6.1870556210208,6.1306133409433,8.2143655640777,8.2442838942734,8.2692949642902,8.29018185630469,8.30762514148483,7.00327389231942,6.97320328559335,6.95583337162854,6.94600995800592,6.94089972921146,5.8083113728401,5.76935478920844,5.74202081525454,5.72282054675648,5.70926067382286,4.58614426611148,4.53836361769661,4.50434050687966,4.47997054651312,4.46240456060669,5.14094872487812,5.20959997313115,5.26266216247266,5.30370139280353,5.33550797614667,4.20100481836443,4.17999953171793,4.16646427690807,4.15771566133578,4.15208804310167
"3","Africa_Southern",69,"moiraiSG17",259.82499847,440.01512786,455.802748692,468.175219361,477.914988115,485.61836834,201.814385658,183.570932017,169.941378921,159.777491542,152.21464197,135.747550372,131.647048756,128.617179618,126.3846457565,124.744442563,133.775694553,133.200474117,132.792475912,132.507669529,132.312635391,126.502249033,126.355782599,126.266192692,126.217009166,126.197197358,84.589357024,83.888122277,83.377146217,83.006532497,82.739059087,81.555913524,81.459663034,81.39823853994,81.3624561,81.3455952264,75.7683771076,75.7312933809,75.72260504444,75.7350989182,75.7634911164,109.0046719201,110.3043468322,111.3564983952,112.2184197704,112.9334677405,104.8146653773,105.2342025425,105.6073010421,105.9428857988,106.2479759918
"4","Africa_Western",69,"moiraiSG17",561.71641837883,746.566153905559,762.1119286549,774.93152612354,785.58172043545,794.49810667575,704.15674594,691.701053618,682.562163719,675.902778471,671.097780263,631.028321205,628.556746184,626.945373762,625.970551163,625.463082079,725.636502677,728.802816857,731.3782354331,733.517152965,735.330319306,646.207579709,644.665414989,643.693916435,643.16230071,642.971494652,513.684380084,511.582332565,510.349138278,509.766506379,509.669562709,508.077009696,508.68221194,509.469303968,510.3931773616,511.4188303705,504.5687241026,506.0361932639,507.47124595204,508.89430318154,510.31773706691,669.9854191886,676.9765601594,682.7044447775,687.4704340014,691.5039375742,658.81065361008,660.73109663579,662.62322784469,664.47998492836,666.29893818919
"5","Argentina",69,"moiraiSG17",173.471624127,152.995275773,170.804120318,186.862918566,200.836593101,212.754649169,88.588875325,82.456543607,76.958678927,71.95286776,67.375468389,68.456944343,65.282343427,62.376701072,59.739236508,57.362470944,54.366967666,52.340204182,50.53815042,48.9434104395,47.5375070302,43.7166672506,42.5015219525,41.448659262,40.533068272,39.735569713,30.1945838756,29.252442524,28.473218492,27.8125408641,27.242795262,27.156580226,26.823305528,26.51777178,26.244414513,26.003584287,21.263748998,20.710884792,20.2578689856,19.8751628985,19.5453703941,23.653871707,23.705589598,23.752385616,23.792562036,23.826067398,21.1313746861,21.000487301,20.895734346,20.8080428743,20.7322893516
"6","Australia_NZ",69,"moiraiSG17",-35.930532659,-74.256566633,-43.792203048,-10.300701751,23.877242352,57.260971179,-117.170556501,-98.01859577,-79.807267973,-62.876517798,-47.378270457,-39.793956227,-27.347825444,-16.229564268,-6.341322118,2.42287762800001,10.995999011,17.833936952,23.857041348,29.159689106,33.826882503,36.826877686,40.414476359,43.574308819,46.358381759,48.813102315,37.809908341,39.533762433,41.085928742,42.479366783,43.728215456,41.4503218517,42.3473878981,43.169391141,43.9209522491,44.6071343359,42.4543796484,42.9933427662,43.4971792892,43.9677540412,44.4068636670621,49.18471567767,49.8721798589,50.49638231668,51.0651818829,51.5849480525,48.3012330275,48.7175917417,49.1210758002,49.5091551859,49.8803036658
"7","Brazil",69,"moiraiSG17",648.745124071605,903.892772982984,930.361090215513,952.898258868156,972.15560478389,988.66258352768,448.346579629,420.781339060242,400.756336035426,386.314255119565,375.98413555767,356.69532013675,351.462818739811,347.815656273456,345.308626351891,343.612378722618,345.917878217837,345.092132152953,344.527331586964,344.135147343973,343.851207716979,328.279866734984,327.693729488988,327.245995181991,326.888374841993,326.584422944995,225.064693634696,222.887481074097,221.257242336198,220.021862745898,219.072897724299,204.933544757199,203.919576589699,203.138723963699,202.5225418503,202.0204979026,174.4176631245,173.3047812544,172.4270531507,171.7196335918,171.1349588453,197.7224984842,197.9896445974,198.1505667049,198.2266892132,198.23427440409,173.32825195792,172.6262502126,172.06995835111,171.61781596783,171.23893253428
"8","Canada",69,"moiraiSG17",-84.74926157247,-91.43620479035,-83.61104990803,-74.93519849171,-66.1398368164,-57.56139133818,-20.02298588183,3.38430742605,25.50359818067,46.27294271894,65.72437742996,40.66368596973,51.76575140626,62.32266705265,72.33875673071,81.83321117663,95.18536838843,104.0727097291,112.47370937455,120.42118015387,127.94103886618,126.83029123127,132.96893959635,138.7988635223,144.32595848718,149.55891053799,108.41032373373,108.98802127341,109.70489495103,110.499326905597,111.337779828118,109.662811336593,110.26143136803,110.897618297432,111.566428695799,112.26139156614,105.448769548447,105.380279002729,105.394747452998,105.479463757234,105.624825738456,107.060157751656,107.777249839842,108.493131769017,109.199395976169,109.89148286131,101.219094124448,101.135943354565,101.108367018681,101.121929403785,101.167581635876
"9","Central America and Caribbean",69,"moiraiSG17",18.579593543,18.171506779,16.170986498,14.582396634,13.257360612,12.105748955,27.628531026,30.060729884,32.27016679,34.228901492,35.938740869,30.394132504,31.283326147,32.088170134,32.80843153,33.448929592,38.122209834,38.846961662,39.44916301,39.95505631,40.384300091,40.593541881,40.997223685,41.348058075,41.653715077,41.921268102,26.426360493,25.8090461039,25.3949720108,25.124676747,24.9561704918,23.1108777836,22.964235091,22.8800863978,22.83961571127,22.82918314185,20.00549202774,19.85424897513,19.75694172516,19.69829563621,19.66707933947,22.68065627827,22.888810057772,23.067708720192,23.220342630054,23.350096304273,20.04960969666,19.956909775154,19.892924353761,19.8502503125256,19.8231751424709
"10","Central Asia",69,"moiraiSG17",379.721086617,189.997893256,120.409020397,58.115983251,0.382909385999999,-53.96026516,-193.456970549,-172.244495861,-150.473273531,-130.41751107,-112.832070034,-100.025529072,-87.120705868,-76.143436032,-66.775277977,-58.722295387,-52.098447093,-46.129679775,-40.853862905,-36.1445619195,-31.904498146,-29.518125914,-26.089230521,-22.928139327,-20.011734168,-17.316285623,-18.813889532,-16.621553821,-14.557929777,-12.633243221,-10.844090617,-10.473233813,-9.070123341,-7.7566524077,-6.529740789,-5.38412228,-6.207078435,-5.458142587,-4.743674209,-4.068177483,-3.431739393,-2.202579577,-1.615346236,-1.058210304,-0.533029566999998,-0.0388830189999986,-0.713247127999999,-0.370634233999999,-0.0395644269999995,0.275545556,0.573618422000001
